experiment,description,seed,checkpoint,best_validation_loss,best_epoch,epochs_completed,duration_seconds,test_loss,answer_accuracy,dependency_accuracy,effective_evidence_accuracy,effective_evidence_mae,false_consensus_accuracy,observed_agreement_mae,model_num_tools,model_num_answer_classes,model_max_latent_sources,model_hidden_dim,model_claim_embedding_dim,model_metadata_embedding_dim,model_slot_iterations,model_dropout,model_assignment_temperature,loss_answer_weight,loss_dependency_weight,loss_effective_evidence_weight,loss_occupancy_weight,loss_false_consensus_weight,loss_agreement_weight,loss_assignment_entropy_weight
full,Full latent EBM,17,results\latent_ablations\full\seed_17\best.pt,1.127043661495183,25,30,482.70634729997255,1.0625581622016225,0.685752931051796,0.9091370535176332,0.8935978359956801,0.12488728587669333,0.9693417493237151,0.05429985348010945,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.01
full,Full latent EBM,42,results\latent_ablations\full\seed_42\best.pt,1.103631540592885,30,30,1251.1123567998875,1.0607458687344578,0.6753832281871999,0.8922800254563795,0.8800721365229518,0.14427412083797406,0.9700180342651037,0.053536781357606325,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.01
full,Full latent EBM,123,results\latent_ablations\full\seed_123\best.pt,1.121434149966144,19,25,1142.7866342000198,1.0658609758528426,0.6731289454254619,0.9016525652948213,0.8850315595339611,0.1411181244431475,0.9675383228133454,0.0453562871716762,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.01
no_dependency_loss,Remove dependency supervision,17,results\latent_ablations\no_dependency_loss\seed_17\best.pt,0.8374411179715355,25,30,787.1579793000128,0.8024500354761686,0.6816952209466207,0.8061658324047292,0.8940486926232726,0.1280432822698403,0.9700180342651037,0.05955788759872438,6,2,6,128,24,16,3,0.1,0.75,1.0,0.0,0.5,0.25,0.5,0.25,0.01
no_dependency_loss,Remove dependency supervision,42,results\latent_ablations\no_dependency_loss\seed_42\best.pt,0.8354571043778319,30,30,868.6085429000668,0.8003329850726562,0.6807935076108164,0.8890716266374098,0.884580702798876,0.1397655545620498,0.9700180342651037,0.05202173930403883,6,2,6,128,24,16,3,0.1,0.75,1.0,0.0,0.5,0.25,0.5,0.25,0.01
no_dependency_loss,Remove dependency supervision,123,results\latent_ablations\no_dependency_loss\seed_123\best.pt,0.840270359830835,26,30,626.6352121999953,0.8112606780286089,0.6794409376205465,0.8890457940166119,0.8845807033900853,0.13615870154970824,0.9691163210099188,0.04871832801077794,6,2,6,128,24,16,3,0.1,0.75,1.0,0.0,0.5,0.25,0.5,0.25,0.01
no_false_consensus_loss,Remove false-consensus supervision,17,results\latent_ablations\no_false_consensus_loss\seed_17\best.pt,1.0797813534469947,25,30,609.3058559999336,1.0135847020514706,0.6839495040039634,0.9107548681006332,0.8881875565183174,0.12984670886754773,0.5306582512137479,0.05224850555467004,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.0,0.25,0.01
no_false_consensus_loss,Remove false-consensus supervision,42,results\latent_ablations\no_false_consensus_loss\seed_42\best.pt,1.0809141389475574,30,30,580.5194403000642,1.0307920672422706,0.6726780884216453,0.8912943475841938,0.8800721371141611,0.14292155096359463,0.4170423803617548,0.04975335227411217,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.0,0.25,0.01
no_false_consensus_loss,Remove false-consensus supervision,123,results\latent_ablations\no_false_consensus_loss\seed_123\best.pt,1.0684000743315525,23,29,1183.39219709998,1.0227091101722958,0.6776375117013861,0.9060774249359764,0.8899909829749407,0.1316501352905797,0.6979260599430452,0.04973493231253865,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.0,0.25,0.01
no_occupancy_loss,Remove slot-occupancy regularisation,17,results\latent_ablations\no_occupancy_loss\seed_17\best.pt,1.1092168091127537,22,28,460.1836841001641,1.040410622591581,0.687556357615912,0.9020982966216649,0.8746618575293057,0.14743011722272317,0.968214607754734,0.05552440570672425,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.0,0.5,0.25,0.01
no_occupancy_loss,Remove slot-occupancy regularisation,42,results\latent_ablations\no_occupancy_loss\seed_42\best.pt,1.0987043051111618,25,30,490.6663948998321,1.0342165845487439,0.6834986474838636,0.9032896483019733,0.8809738504230923,0.13751127144928124,0.9691163210099188,0.05498447124758102,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.0,0.5,0.25,0.01
no_occupancy_loss,Remove slot-occupancy regularisation,123,results\latent_ablations\no_occupancy_loss\seed_123\best.pt,1.090765037792641,19,25,338.8776895001065,1.04294412860578,0.6785392250103173,0.8994923734363938,0.8818755631408141,0.14156898107073992,0.9670874661857529,0.04614411577300191,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.0,0.5,0.25,0.01
no_entropy_regularisation,Remove assignment-entropy regularisation,17,results\latent_ablations\no_entropy_regularisation\seed_17\best.pt,1.1061990281879501,26,30,1299.3347885000985,1.0528507158496123,0.670423805068698,0.8999504243284867,0.8823264203596158,0.14201983781254324,0.9697926059513075,0.05161076165379652,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.0
no_entropy_regularisation,Remove assignment-entropy regularisation,42,results\latent_ablations\no_entropy_regularisation\seed_42\best.pt,1.0959986626968554,30,30,661.8003712000791,1.0578460231678672,0.6794409378355317,0.8904002889843005,0.8678990081691655,0.15554553653618255,0.9691163210099188,0.05339103420512756,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.0
no_entropy_regularisation,Remove assignment-entropy regularisation,123,results\latent_ablations\no_entropy_regularisation\seed_123\best.pt,1.1066645983881598,19,25,353.69615480001085,1.0599646588721934,0.6789900811004467,0.8999499410417727,0.8778178535462285,0.14743011731677919,0.9675383228133454,0.04634815577091775,6,2,6,128,24,16,3,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.0
answer_only,Answer prediction only,17,results\latent_ablations\answer_only\seed_17\best.pt,0.5901744668382393,10,16,216.06628939998336,0.5917452534003984,0.6708746622874997,0.6778328696600051,0.0689810640821057,3.265554554081909,0.14404869254937142,0.35097015328617975,6,2,6,128,24,16,3,0.1,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
answer_only,Answer prediction only,42,results\latent_ablations\answer_only\seed_42\best.pt,0.6015929051960341,12,18,240.31674239994027,0.6004615659859935,0.6672678089980288,0.7189139308318886,0.27682596938205906,1.0486925151350264,0.6032461677186655,0.3799961687907966,6,2,6,128,24,16,3,0.1,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
answer_only,Answer prediction only,123,results\latent_ablations\answer_only\seed_123\best.pt,0.5858732599540045,27,30,599.5305939998943,0.5735460338665624,0.6889089270149726,0.6334717334445475,0.1474301172563146,1.669071236314593,0.588593327751882,0.38724266002047053,6,2,6,128,24,16,3,0.1,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
slot_iterations_1,One slot-refinement iteration,17,results\latent_ablations\slot_iterations_1\seed_17\best.pt,1.1532709822558718,28,30,455.2874304000288,1.1029945575406253,0.6794409377817854,0.87907980792258,0.8733092877002747,0.14517583410155677,0.9679891794409378,0.054211295039348496,6,2,6,128,24,16,1,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.01
slot_iterations_1,One slot-refinement iteration,42,results\latent_ablations\slot_iterations_1\seed_42\best.pt,1.1638240530453539,20,26,344.3758788998239,1.1206223506772701,0.6731289451836034,0.8767786998808975,0.8660955811213329,0.15284039681429687,0.9684400357997988,0.057893469802047674,6,2,6,128,24,16,1,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.01
slot_iterations_1,One slot-refinement iteration,123,results\latent_ablations\slot_iterations_1\seed_123\best.pt,1.1631760987126054,25,30,321.40809609997086,1.1313632676685255,0.6605049592616646,0.877588865023889,0.8728584305352193,0.14607754740041048,0.9691163210099188,0.0586910159255708,6,2,6,128,24,16,1,0.1,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.01
